""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"705"	6.66131546536228e-29	0.826670790279423	0.439	0.487	1.33226309307246e-25	"14"	"Enpp2"
"706"	9.73709219651095e-19	0.757610019143397	0.49	0.594	1.94741843930219e-15	"14"	"Efemp1"
"707"	2.6230503836415e-18	1.24729775166756	0.437	0.52	5.246100767283e-15	"14"	"Il6"
"708"	1.23788912639485e-16	0.859908984408001	0.456	0.547	2.4757782527897e-13	"14"	"Adamts4"
"709"	1.64381215675718e-13	0.798565626310854	0.375	0.464	3.28762431351437e-10	"14"	"Slc1a3"
"710"	1.00399297627747e-08	0.939947856523363	0.405	0.511	2.00798595255493e-05	"14"	"Dio2"
"711"	3.05838549343327e-06	0.942995057970043	0.312	0.522	0.00611677098686654	"14"	"Serpine1"
"712"	4.87480079126101e-05	0.794191636823758	0.39	0.519	0.0974960158252201	"14"	"Smoc2"
"713"	8.91405010893281e-05	0.966189392555495	0.383	0.508	0.178281002178656	"14"	"Steap4"
"714"	0	3.53492035523105	0.999	0.525	0	"15"	"Meg3"
"715"	0	2.85978913453808	0.997	0.286	0	"15"	"Snhg11"
"716"	0	2.24455163373344	0.973	0.2	0	"15"	"9530059O14Rik"
"717"	0	1.80807357207245	0.952	0.202	0	"15"	"Miat"
"718"	0	1.72299645253403	0.977	0.578	0	"15"	"Kcnq1ot1"
"719"	0	1.52002415290587	0.977	0.419	0	"15"	"Ank2"
"720"	0	1.50730210842785	0.865	0.22	0	"15"	"5330434G04Rik"
"721"	0	1.48391581623319	0.926	0.24	0	"15"	"Peg3"
"722"	0	1.40598559377828	0.902	0.346	0	"15"	"Chka"
"723"	0	1.38277971464503	0.964	0.375	0	"15"	"Ebf1"
"724"	0	1.32000819323255	0.878	0.242	0	"15"	"Nrxn1"
"725"	0	1.27984745281159	0.852	0.193	0	"15"	"Ptprn"
"726"	0	1.27426929921305	0.986	0.63	0	"15"	"Dst"
"727"	0	1.27273815078757	0.911	0.265	0	"15"	"Cacna1a"
"728"	0	1.24504769874044	0.933	0.378	0	"15"	"Kif1a"
"729"	0	1.24474658797879	0.903	0.205	0	"15"	"Nup93"
"730"	0	1.19682577559744	0.913	0.329	0	"15"	"Cacna2d1"
"731"	0	1.17928496303057	0.915	0.378	0	"15"	"Herc1"
"732"	0	1.17036622920268	0.769	0.204	0	"15"	"Adcyap1"
"733"	0	1.16844348601767	0.964	0.495	0	"15"	"Kif1b"
"734"	0	1.1311645091014	0.979	0.425	0	"15"	"Syt4"
"735"	0	1.11025112764038	0.798	0.248	0	"15"	"Map2"
"736"	0	1.06264845690815	0.864	0.226	0	"15"	"Cacna1b"
"737"	0	1.04360563938904	0.887	0.269	0	"15"	"Vezt"
"738"	0	1.01617784762078	0.924	0.421	0	"15"	"Prune2"
"739"	0	1.00848821474913	0.873	0.219	0	"15"	"C2cd5"
"740"	0	0.994996689079625	0.813	0.18	0	"15"	"Mir124a-1hg"
"741"	0	0.993771777866024	0.878	0.263	0	"15"	"Scn9a"
"742"	0	0.991788057383813	0.903	0.261	0	"15"	"Mirg"
"743"	0	0.991109922646252	0.814	0.241	0	"15"	"Vgf"
"744"	0	0.990707392614369	0.947	0.68	0	"15"	"Atp1a1"
"745"	0	0.989978674458844	0.986	0.605	0	"15"	"Camk2d"
"746"	0	0.9656114843091	0.903	0.306	0	"15"	"Elavl4"
"747"	0	0.958871990822376	0.966	0.515	0	"15"	"Krit1"
"748"	0	0.942158628658572	0.882	0.391	0	"15"	"PISD"
"749"	0	0.929727869809452	0.902	0.312	0	"15"	"Cyfip2"
"750"	0	0.918540242580483	0.909	0.23	0	"15"	"Myt1l"
"751"	0	0.905675036335851	0.878	0.269	0	"15"	"Osbpl3"
"752"	0	0.90507863621372	0.821	0.389	0	"15"	"Nav2"
